IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
428295,Star Truck Driving School-Bensenville,,/m/0clw2mm,-2,NO
428329,Cambria-Rowe Business College-Indiana,,/m/0clw2pt,00488901,NO
428338,Facultad de Derecho Eugenio Maria de Hostos,,/m/09k4cn5,03180500,NO
428392,Klamath Community College,164438,/m/03c5v78,03428300,NO
428426,San Bernardino Community College District,,/m/0k9pg58,00127200,NO
428444,The Art Institute of Phoenix,164456,/m/03mdnsh,04051300,YES
429003,Academia Vocational Del Turabo,164465,,,
429012,Aerosim Flight Academy,164474,/m/0h7gnw9,04157100,NO
429076,Moody Theological Seminary and Graduate School - Michigan,164492,,,
429085,American College of Acupuncture and Oriental Med,164508,/m/0clw2tj,03153300,NO
429094,AOMA Graduate School of Integrative Medicine,164517,/m/05t0k5j,03156400,NO
429100,Arlington Medical Institute,164526,/m/0clw2s6,03159300,NO
429128,Urban College of Boston,164535,/m/03d3_p5,03130500,NO
429216,American College of Medical Technology,164544,,,
429599,ITT Technical Institute-Henderson,,/m/0clw2r_,00732954,YES
430050,Anthem College-Minnesota,,/m/0clw2sn,02263102,NO
430087,Colorado Technical University-Greenwood Village,,/m/0cn00b3,01014802,YES
430096,Branford Hall Career Institute-Windsor Campus,,/m/0clw2rb,02074001,NO
430102,Trine University-South Bend Regional Campus,,/m/0clw2t2,,
430148,Heald College-Portland,,/m/0clw2rs,00723402,NO
430157,Golf Academy of America-Altamonte Springs,,/m/0clw2qp,03010612,NO
430166,Golf Academy of America-Phoenix,,/m/0clw2t9,03010613,NO
430175,Everest College-Merrillville,,/m/0clw2r3,02100402,NO
430184,Strayer University-Maryland,,/m/0h7ggn_,00145911,YES
430218,Empire Beauty School-Bordentown,,/m/0clw2qx,02149801,NO
430227,Empire Beauty School-Monroeville,,/m/0clw2sf,01054100,NO
430245,Southern Careers Institute-San Antonio,,/m/0cnfnz2,03035303,NO
430254,Virginia School of Massage,164687,/m/0clw2x4,03280400,NO
430263,ITT Technical Institute-Miami,,/m/0clw2w1,00732948,YES
430306,Cayce Reilly School of Massotherapy,164702,/m/0h7gl10,04137300,NO
430342,CET-Sacramento,,/m/0clw2v5,02332845,NO
