Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Christopher Newport University,http://premium.usnews.com/best-colleges/\%22/best-colleges/christopher-newport-university-3706\%22,"#18, Regional Universities (South)",64.59%,3.7,1240 / 26
Cincinnati Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cincinnati-christian-university-3029\%22,Unranked,N/A,N/A,N/A
Cincinnati College of Mortuary Science,http://premium.usnews.com/best-colleges/\%22/best-colleges/cincinnati-college-of-mortuary-science-10906\%22,Unranked,N/A,N/A,N/A
City University of Seattle,http://premium.usnews.com/best-colleges/\%22/best-colleges/city-university-of-seattle-13022\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
Claflin University,http://premium.usnews.com/best-colleges/\%22/best-colleges/claflin-university-3424\%22,"RNP, National Liberal Arts Colleges",52.57%,3,1000 / 21
Claremont McKenna College,http://premium.usnews.com/best-colleges/\%22/best-colleges/claremont-mckenna-college-1170\%22,"#9, National Liberal Arts Colleges",13.60%,N/A,1510 / 32
Clarion University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/clarion-university-of-pennsylvania-9235\%22,"RNP, Regional Universities (North)",76.70%,3.2,1080 / 22
Clark Atlanta University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clark-atlanta-university-1551\%22,"RNP, National Universities",68.52%,3.1,950 / 21
Clark University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clark-university-2139\%22,"#75, National Universities",70.05%,3.5,1280 / 29
Clarke University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clarke-university-1852\%22,"#17, Regional Colleges (Midwest)",73.79%,N/A,N/A / 25
Clarkson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/clarkson-college-9862\%22,Unranked,N/A,3.9,N/A / 24
Clarkson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clarkson-university-2699\%22,"#121, National Universities",76.09%,N/A,1270 / 28
Clayton State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clayton-state-university-8976\%22,"#66, Regional Colleges (South)",39.40%,3,1020 / 20
Clear Creek Baptist Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/clear-creek-baptist-bible-college-25356\%22,Unranked,N/A,N/A,N/A
Clearwater Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/clearwater-christian-college-1473\%22,"RNP, National Liberal Arts Colleges",72.24%,3.4,1140 / 24
Cleary University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleary-university-2246\%22,"Unranked, Business Schools",57.58%,N/A,N/A
Clemson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/clemson-university-3425\%22,"#62, National Universities",57.87%,4,1340 / 31
Cleveland Chiropractic College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-chiropractic-college-20907\%22,Unranked,N/A,N/A,N/A
Cleveland Institute of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-institute-of-art-3982\%22,"Unranked, Arts Schools",71.06%,3.3,1240 / 26
Cleveland Institute of Music,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-institute-of-music-3031\%22,"Unranked, Arts Schools",37.85%,N/A,N/A
Cleveland State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cleveland-state-university-3032\%22,"RNP, National Universities",63.15%,3.2,1150 / 24
Coastal Carolina University,http://premium.usnews.com/best-colleges/\%22/best-colleges/coastal-carolina-university-3451\%22,"#62, Regional Universities (South)",74.04%,3.3,1080 / 23
Coe College,http://premium.usnews.com/best-colleges/\%22/best-colleges/coe-college-1854\%22,"#120, National Liberal Arts Colleges",66.72%,3.6,1265 / 28
Cogswell Polytechnical College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cogswell-polytechnical-college-1177\%22,"Unranked, Regional Colleges (West)",49.38%,N/A,1280 / 30
Coker College,http://premium.usnews.com/best-colleges/\%22/best-colleges/coker-college-3427\%22,"#16, Regional Colleges (South)",57.76%,3,1060 / 22
Colby College,http://premium.usnews.com/best-colleges/\%22/best-colleges/colby-college-2039\%22,"#22, National Liberal Arts Colleges",28.96%,N/A,1430 / 32
Colby-Sawyer College,http://premium.usnews.com/best-colleges/\%22/best-colleges/colby-sawyer-college-2572\%22,"#20, Regional Colleges (North)",82.93%,N/A,N/A
Colgate University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colgate-university-2701\%22,"#20, National Liberal Arts Colleges",29.35%,3.6,1450 / 32
College at Brockport--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-at-brockport-suny-2841\%22,"#54, Regional Universities (North)",47.74%,3.1,1160 / 26
College for Creative Studies,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-for-creative-studies-6771\%22,"Unranked, Arts Schools",44.58%,3.2,N/A / 25
College of Charleston,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-charleston-3428\%22,"#12, Regional Universities (South)",67.65%,3.9,1300 / 27
College of Idaho,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-idaho-1617\%22,"#167, National Liberal Arts Colleges",64.91%,N/A,1230 / 27
College of Mount St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-mount-st-joseph-3033\%22,"#60, Regional Universities (Midwest)",69.80%,N/A,1060 / 24
College of Mount St. Vincent,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-mount-st-vincent-2703\%22,"#116, Regional Universities (North)",91.70%,N/A,990 / 21
College of New Jersey,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-new-jersey-2642\%22,"#5, Regional Universities (North)",46.14%,N/A,1330
College of New Rochelle,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-new-rochelle-2704\%22,"RNP, Regional Universities (North)",71.62%,N/A,N/A
College of Our Lady of the Elms,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-our-lady-of-the-elms-2140\%22,"#17, Regional Colleges (North)",80.54%,N/A,1040
College of Saints John Fisher & Thomas More,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-saints-john-fisher-thomas-more-31894\%22,"RNP, National Liberal Arts Colleges",100.00%,N/A,N/A
College of Southern Nevada,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-southern-nevada-10362\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
College of St. Benedict,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-benedict-2341\%22,"#94, National Liberal Arts Colleges",76.73%,3.7,1250 / 29
College of St. Elizabeth,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-elizabeth-2600\%22,"RNP, Regional Universities (North)",52.62%,N/A,N/A
College of St. Joseph,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-joseph-3685\%22,"RNP, Regional Universities (North)",77.65%,N/A,920 / 20
College of St. Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-mary-2540\%22,"Unranked, Regional Universities (Midwest)",51.74%,3.4,N/A / 24
College of St. Rose,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-rose-2705\%22,"#37, Regional Universities (North)",66.21%,3.5,1150 / 26
College of St. Scholastica,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-st-scholastica-2343\%22,"#33, Regional Universities (Midwest)",78.29%,3.5,1300 / 26
College of the Atlantic,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-atlantic-11385\%22,"#93, National Liberal Arts Colleges",70.63%,3.6,1370 / 33
College of the Holy Cross,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-holy-cross-2141\%22,"#25, National Liberal Arts Colleges",33.54%,3.9,1380 / 30
College of the Ozarks,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-the-ozarks-2500\%22,"#10, Regional Colleges (Midwest)",9.48%,3.6,1170 / 25
College of William and Mary,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-william-and-mary-3705\%22,"#32, National Universities",32.17%,4,1460 / 32
College of Wooster,http://premium.usnews.com/best-colleges/\%22/best-colleges/college-of-wooster-3037\%22,"#65, National Liberal Arts Colleges",58.06%,3.6,1320 / 30
Colorado Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-christian-university-9401\%22,"RNP, Regional Universities (West)",83.43%,N/A,N/A
Colorado College,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-college-1347\%22,"#31, National Liberal Arts Colleges",22.99%,N/A,1430 / 32
Colorado Mesa University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-mesa-university-1358\%22,"RNP, National Liberal Arts Colleges",82.40%,3,1080 / 23
Colorado School of Mines,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-school-of-mines-1348\%22,"#91, National Universities",37.43%,3.8,1390 / 31
Colorado State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-state-university-1350\%22,"#121, National Universities",74.71%,3.6,1260 / 27
Colorado State University--Pueblo,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-state-university-pueblo-1365\%22,"RNP, Regional Universities (West)",94.34%,3.1,1050 / 23
Colorado Technical University,http://premium.usnews.com/best-colleges/\%22/best-colleges/colorado-technical-university-10148\%22,"Unranked, National Universities",N/A,N/A,N/A
Columbia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-college-2456\%22,"Unranked, Regional Universities (Midwest)",49.25%,N/A,N/A
Columbia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-college-3430\%22,"#46, Regional Universities (South)",62.45%,3.6,1110 / 25
Columbia College Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-college-chicago-1665\%22,"Unranked, Regional Universities (Midwest)",N/A,N/A,N/A
Columbia College of Nursing,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-college-of-nursing-6640\%22,Unranked,N/A,N/A,N/A
Columbia International University,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-international-university-3429\%22,"#55, Regional Universities (South)",64.38%,3.7,1230 / 26
Columbia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbia-university-2707\%22,"#4, National Universities",7.42%,N/A,1570 / 34
Columbus College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbus-college-of-art-and-design-3039\%22,"Unranked, Arts Schools",86.68%,3.1,1118 / 24
Columbus State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/columbus-state-university-1561\%22,"#92, Regional Universities (South)",52.56%,N/A,1090 / 23
Conception Seminary College,http://premium.usnews.com/best-colleges/\%22/best-colleges/conception-seminary-college-2467\%22,Unranked,N/A,N/A,N/A
Concord University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concord-university-3810\%22,"#47, Regional Colleges (South)",49.06%,3.2,1090 / 24
Concordia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-college-10554\%22,"Unranked, Regional Colleges (South)",32.57%,N/A,N/A
Concordia College,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-college-2709\%22,"#32, Regional Colleges (North)",72.35%,2.9,1020 / 24
Concordia College--Moorhead,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-college-moorhead-2346\%22,"#138, National Liberal Arts Colleges",77.66%,3.6,1260 / 27
Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-2247\%22,"#52, Regional Colleges (Midwest)",55.79%,N/A,N/A
Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-2541\%22,"#51, Regional Universities (Midwest)",76.09%,3.5,1180 / 26
Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-29059\%22,"#63, Regional Universities (West)",69.47%,3.5,1140 / 26
Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-3191\%22,"#80, Regional Universities (West)",53.80%,3.4,1120 / 24
Concordia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-CA0004\%22,Unranked,N/A,N/A,N/A
Concordia University Chicago,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-chicago-1666\%22,"#83, Regional Universities (Midwest)",55.39%,3.1,1135 / 23
Concordia University Texas,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-texas-3557\%22,"RNP, Regional Universities (West)",94.62%,3.3,1130 / 24
Concordia University Wisconsin,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-wisconsin-3842\%22,"#68, Regional Universities (Midwest)",70.20%,3.3,1130 / 25
Concordia University--St. Paul,http://premium.usnews.com/best-colleges/\%22/best-colleges/concordia-university-st-paul-2347\%22,"#92, Regional Universities (Midwest)",65.35%,3.2,N/A / 24
Connecticut College,http://premium.usnews.com/best-colleges/\%22/best-colleges/connecticut-college-1379\%22,"#45, National Liberal Arts Colleges",35.85%,N/A,1410 / 31
Converse College,http://premium.usnews.com/best-colleges/\%22/best-colleges/converse-college-3431\%22,"#20, Regional Universities (South)",51.34%,3.8,1170 / 26
Cooper Union,http://premium.usnews.com/best-colleges/\%22/best-colleges/cooper-union-2710\%22,"#1, Regional Colleges (North)",7.02%,3.6,1480 / 33
Coppin State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/coppin-state-university-2068\%22,"RNP, Regional Universities (North)",34.87%,N/A,N/A
Corban University,http://premium.usnews.com/best-colleges/\%22/best-colleges/corban-university-1339\%22,"#6, Regional Colleges (West)",34.04%,3.6,1180 / 25
Corcoran College of Art and Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/corcoran-college-of-art-and-design-11950\%22,"Unranked, Arts Schools",30.36%,N/A,N/A
Cornell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornell-college-1856\%22,"#97, National Liberal Arts Colleges",52.87%,3.5,1375 / 30
Cornell University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornell-university-2711\%22,"#16, National Universities",16.55%,N/A,1520 / 33
Cornerstone University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornerstone-university-2266\%22,"RNP, Regional Universities (Midwest)",71.15%,3.4,1195 / 26
Cornish College of the Arts,http://premium.usnews.com/best-colleges/\%22/best-colleges/cornish-college-of-the-arts-12315\%22,"Unranked, Arts Schools",62.49%,N/A,N/A
Covenant College,http://premium.usnews.com/best-colleges/\%22/best-colleges/covenant-college-3484\%22,"#11, Regional Colleges (South)",57.04%,3.6,1300 / 28
Cox College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cox-college-20682\%22,Unranked,N/A,N/A,N/A
Creighton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/creighton-university-2542\%22,"#1, Regional Universities (Midwest)",78.19%,3.8,1290 / 29
Criswell College,http://premium.usnews.com/best-colleges/\%22/best-colleges/criswell-college-29351\%22,Unranked,N/A,N/A,N/A
Crown College,http://premium.usnews.com/best-colleges/\%22/best-colleges/crown-college-2383\%22,"#58, Regional Colleges (Midwest)",56.21%,N/A,1098 / 25
Culinary Institute of America,http://premium.usnews.com/best-colleges/\%22/best-colleges/culinary-institute-of-america-7304\%22,Unranked,N/A,N/A,1150 / 25
Culver-Stockton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/culver-stockton-college-2460\%22,"#34, Regional Colleges (Midwest)",61.53%,3.2,1010 / 23
Cumberland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/cumberland-university-3485\%22,"RNP, Regional Universities (South)",47.13%,3.3,990 / 23
CUNY--Baruch College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-baruch-college-4766\%22,"#22, Regional Universities (North)",24.83%,3.2,1320
CUNY--Brooklyn College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-brooklyn-college-2687\%22,"#69, Regional Universities (North)",31.98%,3.3,1200
CUNY--City College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-city-college-2688\%22,"#43, Regional Universities (North)",32.50%,3.2,1220
CUNY--College of Staten Island,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-college-of-staten-island-29040\%22,"#135, Regional Universities (North)",100.00%,3,1090
CUNY--Hunter College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-hunter-college-2689\%22,"#48, Regional Universities (North)",29.72%,3.2,1260
CUNY--John Jay College of Criminal Justice,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-john-jay-college-of-criminal-justice-2693\%22,"#131, Regional Universities (North)",47.82%,N/A,1020
CUNY--Lehman College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-lehman-college-7022\%22,"#126, Regional Universities (North)",23.28%,N/A,1140
CUNY--Medgar Evers College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-medgar-evers-college-10097\%22,"RNP, Regional Colleges (North)",100.00%,N/A,870
CUNY--New York City College of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-new-york-city-college-of-technology-2696\%22,"#47, Regional Colleges (North)",76.80%,N/A,N/A
CUNY--Queens College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-queens-college-2690\%22,"#43, Regional Universities (North)",37.02%,3.8,1200
CUNY--York College,http://premium.usnews.com/best-colleges/\%22/best-colleges/cuny-york-college-4759\%22,"RNP, Regional Colleges (North)",60.35%,N/A,N/A
Curry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/curry-college-2143\%22,"RNP, Regional Universities (North)",84.11%,2.7,1010 / 21
Curtis Institute of Music,http://premium.usnews.com/best-colleges/\%22/best-colleges/curtis-institute-of-music-3251\%22,"Unranked, Arts Schools",6.76%,N/A,N/A
D'Youville College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dyouville-college-2712\%22,"RNP, Regional Universities (North)",82.24%,N/A,1110 / 25
Daemen College,http://premium.usnews.com/best-colleges/\%22/best-colleges/daemen-college-2808\%22,"RNP, Regional Universities (North)",50.37%,3.6,1130 / 26
Dakota State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dakota-state-university-3463\%22,"#86, Regional Universities (Midwest)",88.81%,3.1,1110 / 24
Dakota Wesleyan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dakota-wesleyan-university-3461\%22,"#52, Regional Colleges (Midwest)",73.29%,N/A,1200 / 26
Dalhousie University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dalhousie-university-CA0005\%22,Unranked,N/A,N/A,N/A
Dallas Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dallas-baptist-university-3560\%22,"#49, Regional Universities (West)",41.27%,3.5,1298 / 28
Dallas Christian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dallas-christian-college-6941\%22,Unranked,N/A,N/A,N/A
Dalton State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dalton-state-college-3956\%22,"RNP, Regional Colleges (South)",43.43%,N/A,1070
Daniel Webster College,http://premium.usnews.com/best-colleges/\%22/best-colleges/daniel-webster-college-4731\%22,"RNP, Regional Colleges (North)",66.03%,N/A,N/A
Dartmouth College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dartmouth-college-2573\%22,"#10, National Universities",9.78%,N/A,1560 / 34
Davenport University,http://premium.usnews.com/best-colleges/\%22/best-colleges/davenport-university-2249\%22,"RNP, Regional Universities (Midwest)",94.79%,N/A,N/A
Davidson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/davidson-college-2918\%22,"#9, National Liberal Arts Colleges",24.82%,4,1440 / 32
Davis and Elkins College,http://premium.usnews.com/best-colleges/\%22/best-colleges/davis-and-elkins-college-3811\%22,"#44, Regional Colleges (South)",52.96%,N/A,N/A
Davis College,http://premium.usnews.com/best-colleges/\%22/best-colleges/davis-college-21691\%22,Unranked,N/A,N/A,N/A
Daytona State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/daytona-state-college-1475\%22,"Unranked, Regional Colleges (South)",100.00%,N/A,N/A
Dean College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dean-college-2144\%22,"#33, Regional Colleges (North)",69.67%,2.4,950 / 19
Defiance College,http://premium.usnews.com/best-colleges/\%22/best-colleges/defiance-college-3041\%22,"#40, Regional Colleges (Midwest)",62.28%,3,1030 / 23
Delaware State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/delaware-state-university-1428\%22,"RNP, Regional Universities (North)",41.68%,3,970 / 19
Delaware Valley College,http://premium.usnews.com/best-colleges/\%22/best-colleges/delaware-valley-college-3252\%22,"#22, Regional Colleges (North)",74.44%,3.3,1110 / 25
Delta State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/delta-state-university-2403\%22,"#73, Regional Universities (South)",89.22%,3.2,1050 / 22
Denison University,http://premium.usnews.com/best-colleges/\%22/best-colleges/denison-university-3042\%22,"#50, National Liberal Arts Colleges",49.51%,N/A,1400 / 31
DePaul University,http://premium.usnews.com/best-colleges/\%22/best-colleges/depaul-university-1671\%22,"#121, National Universities",62.32%,3.6,1270 / 28
DePauw University,http://premium.usnews.com/best-colleges/\%22/best-colleges/depauw-university-1792\%22,"#54, National Liberal Arts Colleges",61.53%,3.5,1330 / 30
DEREE--The American College of Greece,http://premium.usnews.com/best-colleges/\%22/best-colleges/deree-the-american-college-of-greece-GR0001\%22,Unranked,N/A,N/A,N/A
DeSales University,http://premium.usnews.com/best-colleges/\%22/best-colleges/desales-university-3986\%22,"#85, Regional Universities (North)",71.57%,3.2,1200 / 27
DeVry University,http://premium.usnews.com/best-colleges/\%22/best-colleges/devry-university-10727\%22,"RNP, Regional Universities (Midwest)",N/A,N/A,N/A
Dickinson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dickinson-college-3253\%22,"#45, National Liberal Arts Colleges",40.22%,N/A,1380 / 30
Dickinson State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dickinson-state-university-2989\%22,"RNP, Regional Colleges (Midwest)",66.41%,N/A,N/A
Dillard University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dillard-university-2004\%22,"RNP, National Liberal Arts Colleges",33.42%,2.9,940 / 20
Divine Word College,http://premium.usnews.com/best-colleges/\%22/best-colleges/divine-word-college-1858\%22,Unranked,N/A,N/A,N/A
Dixie State College of Utah,http://premium.usnews.com/best-colleges/\%22/best-colleges/dixie-state-college-of-utah-3671\%22,"Unranked, Regional Colleges (West)",62.75%,3.2,N/A
Doane College,http://premium.usnews.com/best-colleges/\%22/best-colleges/doane-college-2544\%22,"#156, National Liberal Arts Colleges",76.46%,3.5,N/A / 26
Dominican College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-college-2713\%22,"RNP, Regional Universities (North)",69.03%,2.8,970 / 20
Dominican University,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-university-1750\%22,"#13, Regional Universities (Midwest)",57.10%,3.4,1190 / 24
Dominican University of California,http://premium.usnews.com/best-colleges/\%22/best-colleges/dominican-university-of-california-1196\%22,"#31, Regional Universities (West)",76.47%,3.5,1150 / 25
Donnelly College,http://premium.usnews.com/best-colleges/\%22/best-colleges/donnelly-college-1914\%22,"Unranked, Regional Colleges (Midwest)",N/A,N/A,N/A
Dordt College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dordt-college-1859\%22,"#6, Regional Colleges (Midwest)",79.13%,3.5,1240 / 28
Dowling College,http://premium.usnews.com/best-colleges/\%22/best-colleges/dowling-college-2667\%22,"RNP, Regional Universities (North)",78.28%,2.3,N/A
Drake University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drake-university-1860\%22,"#3, Regional Universities (Midwest)",65.88%,3.7,1300 / 29
Drew University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drew-university-2603\%22,"#107, National Liberal Arts Colleges",85.07%,3.3,1220 / 28
Drexel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drexel-university-3256\%22,"#97, National Universities",74.86%,3.6,1320 / 29
Drury University,http://premium.usnews.com/best-colleges/\%22/best-colleges/drury-university-2461\%22,"#8, Regional Universities (Midwest)",82.45%,3.6,1341 / 28
Duke University,http://premium.usnews.com/best-colleges/\%22/best-colleges/duke-university-2920\%22,"#7, National Universities",13.42%,N/A,1550 / 34
Dunwoody College of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/dunwoody-college-of-technology-4641\%22,"#61, Regional Colleges (Midwest)",68.70%,2.4,N/A
Duquesne University,http://premium.usnews.com/best-colleges/\%22/best-colleges/duquesne-university-3258\%22,"#121, National Universities",74.71%,3.7,1200 / 27
Earlham College,http://premium.usnews.com/best-colleges/\%22/best-colleges/earlham-college-1793\%22,"#65, National Liberal Arts Colleges",74.93%,3.4,1360 / 30
East Carolina University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-carolina-university-2923\%22,"#181, National Universities",62.17%,3.6,1120 / 24
East Central University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-central-university-3154\%22,"RNP, Regional Universities (West)",91.86%,N/A,N/A
East Stroudsburg University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-stroudsburg-university-of-pennsylvania-3320\%22,"#116, Regional Universities (North)",77.30%,N/A,1050
East Tennessee State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-tennessee-state-university-3487\%22,"RNP, National Universities",89.23%,3.3,1110 / 25
East Texas Baptist University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-texas-baptist-university-3564\%22,"#19, Regional Colleges (West)",58.21%,3.3,1060 / 22
East-West University,http://premium.usnews.com/best-colleges/\%22/best-colleges/east-west-university-21686\%22,"RNP, National Liberal Arts Colleges",N/A,N/A,N/A
Eastern Connecticut State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-connecticut-state-university-1425\%22,"#108, Regional Universities (North)",67.40%,3,1110 / 24
Eastern Illinois University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-illinois-university-1674\%22,"#36, Regional Universities (Midwest)",64.63%,3.1,N/A / 24
Eastern Kentucky University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-kentucky-university-1963\%22,"#55, Regional Universities (South)",60.02%,3.2,N/A / 25
Eastern Mennonite University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-mennonite-university-3708\%22,"#180, National Liberal Arts Colleges",70.18%,3.5,1200 / 27
Eastern Michigan University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-michigan-university-2259\%22,"#77, Regional Universities (Midwest)",65.12%,3.2,1140 / 24
Eastern Nazarene College,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-nazarene-college-2145\%22,"RNP, National Liberal Arts Colleges",60.13%,3,1090 / 23
Eastern New Mexico University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-new-mexico-university-2651\%22,"RNP, Regional Universities (West)",62.87%,N/A,N/A
Eastern Oregon University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-oregon-university-3193\%22,"RNP, Regional Universities (West)",67.00%,3.2,1050 / 24
Eastern University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-university-3259\%22,"#95, Regional Universities (North)",69.72%,N/A,1140 / 24
Eastern Washington University,http://premium.usnews.com/best-colleges/\%22/best-colleges/eastern-washington-university-3775\%22,"#60, Regional Universities (West)",79.67%,3.2,1090 / 23
Eckerd College,http://premium.usnews.com/best-colleges/\%22/best-colleges/eckerd-college-1487\%22,"#141, National Liberal Arts Colleges",71.00%,3.3,1230 / 28
ECPI University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ecpi-university-25354\%22,"Unranked, Regional Colleges (South)",75.70%,N/A,N/A
Edgewood College,http://premium.usnews.com/best-colleges/\%22/best-colleges/edgewood-college-3848\%22,"#190, National Universities",73.23%,3.4,1213 / 24
Edinboro University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/edinboro-university-of-pennsylvania-3321\%22,"#126, Regional Universities (North)",75.30%,3.2,1050 / 22
