Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Albany State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/albany-state-university-1544\%22,"#84, Regional Universities (South)",19.53%,2.9,950 / 20
Albertus Magnus College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albertus-magnus-college-1374\%22,"#131, Regional Universities (North)",80.80%,2.7,920
Albion College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albion-college-2235\%22,"#100, National Liberal Arts Colleges",70.21%,3.4,1270 / 27
Albright College,http://premium.usnews.com/best-colleges/\%22/best-colleges/albright-college-3229\%22,"#176, National Liberal Arts Colleges",46.73%,3.3,1155 / 25
Alcorn State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alcorn-state-university-2396\%22,"#77, Regional Universities (South)",47.12%,2.9,970 / 20
Alderson Broaddus University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alderson-broaddus-university-3806\%22,"#46, Regional Colleges (South)",40.63%,3,1030 / 24
Alfred University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alfred-university-2668\%22,"#30, Regional Universities (North)",70.29%,3.2,1180 / 27
Alice Lloyd College,http://premium.usnews.com/best-colleges/\%22/best-colleges/alice-lloyd-college-1951\%22,"#40, Regional Colleges (South)",10.22%,3.4,930 / 23
Allegheny College,http://premium.usnews.com/best-colleges/\%22/best-colleges/allegheny-college-3230\%22,"#82, National Liberal Arts Colleges",63.27%,3.7,1300 / 29
Allen College,http://premium.usnews.com/best-colleges/\%22/best-colleges/allen-college-30691\%22,Unranked,N/A,N/A,N/A
Allen University,http://premium.usnews.com/best-colleges/\%22/best-colleges/allen-university-3417\%22,"RNP, National Liberal Arts Colleges",57.67%,2.6,790 / 17
Alliant International University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alliant-international-university-1158\%22,"Unranked, National Universities",N/A,N/A,N/A
Alma College,http://premium.usnews.com/best-colleges/\%22/best-colleges/alma-college-2236\%22,"#126, National Liberal Arts Colleges",71.86%,3.5,N/A / 26
Alvernia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alvernia-university-3233\%22,"#116, Regional Universities (North)",80.47%,3.2,1060 / 22
Alverno College,http://premium.usnews.com/best-colleges/\%22/best-colleges/alverno-college-3832\%22,"#68, Regional Universities (Midwest)",81.96%,2.8,N/A / 21
Amberton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/amberton-university-22594\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
American Academy of Art,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-academy-of-art-142887\%22,"Unranked, Arts Schools",N/A,N/A,N/A
American Indian College of the Assemblies of God,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-indian-college-of-the-assemblies-of-god-21999\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
American InterContinental University,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-intercontinental-university-21136B\%22,"Unranked, Regional Universities (Midwest)",N/A,N/A,N/A
American International College,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-international-college-2114\%22,"RNP, Regional Universities (North)",74.31%,2.6,980 / 21
American Jewish University,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-jewish-university-2741\%22,"#167, National Liberal Arts Colleges",94.87%,N/A,N/A
