IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
428073,Styles and Profiles Beauty College,164252,/m/0clw2n8,03126900,NO
428091,Southwest Health Career Institute Inc,164261,,,
428107,Santa Barbara College of Oriental Medicine,164270,,,
428125,John Wesley International Barber and Beauty College,164289,/m/0clw2qg,03125300,NO
428143,Platt College-Lawton,164304,/m/0clw2mv,03124800,NO
428170,Southeastern College-Greenacres,164313,/m/0clw2n1,03123900,NO
428222,Defense Language Institute,164322,/m/0k91cxz,,
428259,Ottawa University-Milwaukee,,/m/0clw2nq,00193704,YES
428268,Argosy University-Tampa,,/m/0clw2m5,02179909,YES
428286,The Illinois Institute of Art-Schaumburg,164359,/m/0413kn3,01258401,YES
428295,Star Truck Driving School-Bensenville,,/m/0clw2mm,-2,NO
428329,Cambria-Rowe Business College-Indiana,,/m/0clw2pt,00488901,NO
428338,Facultad de Derecho Eugenio Maria de Hostos,,/m/09k4cn5,03180500,YES
428392,Klamath Community College,164438,/m/03c5v78,03428300,NO
428426,San Bernardino Community College District,,/m/0k9pg58,00127200,NO
428444,The Art Institute of Phoenix,164456,/m/03mdnsh,04051300,YES
429003,Academia Vocational Del Turabo,164465,,,
429012,Aerosim Flight Academy,164474,/m/0h7gnw9,04157100,NO
429076,Moody Theological Seminary and Graduate School - Michigan,164492,,,
429085,American College of Acupuncture and Oriental Med,164508,/m/0clw2tj,03153300,YES
429094,AOMA Graduate School of Integrative Medicine,164517,/m/05t0k5j,03156400,YES
429100,Arlington Medical Institute,164526,/m/0clw2s6,03159300,NO
429128,Urban College of Boston,164535,/m/03d3_p5,03130500,NO
429216,American College of Medical Technology,164544,,,
429599,ITT Technical Institute-Henderson,,/m/0clw2r_,00732954,YES
430050,Anthem College-Minnesota,,/m/0clw2sn,02263102,NO
430087,Colorado Technical University-Greenwood Village,,/m/0cn00b3,01014802,YES
430096,Branford Hall Career Institute-Windsor Campus,,/m/0clw2rb,02074001,NO
430102,Trine University-South Bend Regional Campus,,/m/0clw2t2,,
430148,Heald College-Portland,,/m/0clw2rs,00723402,NO
430157,Golf Academy of America-Altamonte Springs,,/m/0clw2qp,03010612,NO
430166,Golf Academy of America-Phoenix,,/m/0clw2t9,03010613,NO
430175,Everest College-Merrillville,,/m/0clw2r3,02100402,NO
430184,Strayer University-Maryland,,/m/0h7ggn_,00145911,YES
430218,Empire Beauty School-Bordentown,,/m/0clw2qx,02149801,NO
430227,Empire Beauty School-Monroeville,,/m/0clw2sf,01054100,NO
430245,Southern Careers Institute-San Antonio,,/m/0cnfnz2,03035303,NO
430254,Virginia School of Massage,164687,/m/0clw2x4,03280400,NO
430263,ITT Technical Institute-Miami,,/m/0clw2w1,00732948,YES
430306,Cayce Reilly School of Massotherapy,164702,/m/0h7gl10,04137300,NO
430342,CET-Sacramento,,/m/0clw2v5,02332845,NO
430351,ITT Technical Institute-Harrisburg,,/m/0clw2xc,00732905,NO
430360,ITT Technical Institute-Tarentum,,/m/0clw2tz,00732918,NO
430379,ITT Technical Institute-Norwood,,/m/0clw2wq,00732960,YES
430388,ITT Technical Institute-Strongsville,,/m/0clw2wh,00732921,YES
430403,Prism Career Institute-West Atlantic City,,/m/0clw2vv,02558704,NO
430421,Everest Institute-Marietta,164775,/m/0clw2xl,01110901,NO
430485,The Creative Center,164784,/m/0clw2w8,03164300,YES
430500,Moberly Area Technical Center,190211,/m/0761xk9,03166300,NO
430564,Studio Jewelers,164809,/m/0clw2vd,03169300,NO
430582,Praxis Institute,164818,/m/0clw2y0,03114700,NO
430591,American College of Traditional Chinese Medicine,164827,/m/0clw2tr,03078200,YES
430616,Atlantic County Vocational Technical School,164836,,,
430643,Herndon Career Center,190327,,03174300,NO
430670,San Juan Bautista School of Medicine,164854,/m/043kw_,03177300,YES
430704,Texas College of Traditional Chinese Medicine,164863,/m/0clw2vm,03179500,YES
430777,Technical Institute of Camden County,164881,,,
430795,Carver Career Center,164890,/m/0clw2xt,02073400,NO
430810,New Hampshire Institute of Art,164906,/m/0265jm9,03182300,YES
430847,StenoTech Career Institute-Fairfield,,/m/0clw2wy,03187300,NO
430883,Cayuga Onondaga BOCES-Practical Nursing Program,164924,/m/0clw2zb,02145800,NO
430908,Clearfield County Career and Technology Center,164933,/m/0clw2yg,02169600,NO
430917,Adult and Continuing Education - Cleveland Extension,178961,/m/0clw2_n,,
430935,"Colegio de Cinematografía, Artes y Television",164951,/m/0clw2zs,03157600,NO
430962,CONWAY SCHOOL OF PRACTICAL NURSING,164960,,,
430971,Delaware County Technical School-Practical Nursing Program,164979,/m/0clw2_w,03128400,NO
430980,Everest College-Torrance,164988,/m/0clw30z,03195400,NO
430999,The Institute for Health Education,164997,/m/0clw30j,03197300,NO
431017,Mid-Del Technology Center,165006,/m/02phrpz,03198400,NO
431026,BIR Training Center,165015,/m/0clw309,03448300,NO
431044,The Youngstown College of Massotherapy,165024,,,
431071,New York Institute of Massage Inc,165033,/m/0clw2yp,03203300,NO
431099,Jolie Hair and Beauty Academy-Ludlow,165042,/m/04ybfm4,03205400,NO
431105,Dutchess BOCES-School of Practical Nursing,165051,/m/0clw30r,02172800,NO
431123,Escuela Tecnica de Electricidad,200147,/m/0clw2yx,02576100,NO
431141,Institute of Technology Inc,165097,/m/02p282l,03067500,NO
431169,Garnet Career Center,165103,/m/05syxsb,02218200,NO
431178,Brooklyn Institute of Business Technology,165112,,,
431187,Bristol Technical Education Center,187815,/m/0h7gnw0,00927700,NO
431196,Genesee Valley BOCES-Practical Nursing Program,165121,/m/0clw302,03115300,NO
431248,The Colorado Center for Medical Laboratory Science,,/m/0clw2_f,02133100,YES
431266,Henrico County-Saint Marys Hospital School of Practical Nursing,165158,/m/0clw2y7,02242400,NO
431275,Herkimer County BOCES-Practical Nursing Program,165167,/m/0clw2z3,02098400,NO
431284,International Beauty College 3,165176,/m/0clw347,01248800,NO
431309,Dewey University,165185,/m/0clw31d,03112100,NO
431558,Lee County High Tech Center North,165200,/m/0clw33t,03158300,NO
431567,Dolphin Technical Institute,165219,,,
431594,Massachusetts General Hospital Dietetic Internship,165228,/m/04bl11,02137200,YES
431600,Mercy Hospital School of Nursing,179511,/m/0clw315,00489900,NO
431637,American Beauty Academy,165246,/m/0jvnv24,03148300,NO
431655,National Naval Medical Center,165255,,,
431664,New Directions Hair Academy,165264,,,
431673,New Horizons Beauty College,165273,,,
431691,Northland Career Center,211538,/m/0clw32h,02188100,NO
431707,Norwich Technical High School,187994,/m/076b6wh,01184300,NO
431716,Ocean County Vocational-Technical School,165291,/m/0520l0l,02523700,NO
431743,Council for Relationships,165307,,,
431770,Putnam-Westchester BOCES Practical Nursing Program,165316,/m/0clw34g,01095200,NO
431804,New England School of Radiologic Technology,165325,,,
431859,Springfield Clark County Joint Vocational School,165334,,,
431877,Sullivan County BOCES-Practical Nursing Program,165343,/m/0clw33c,03104900,NO
431886,Kaplan College-San Antonio,165352,/m/0clw321,03115800,NO
431929,Trinity College of Puerto Rico,165361,/m/0clw31v,03115900,NO
