IPEDS ID,School Name,OPE ID
160144,Pat Goins Shreveport Beauty School,"""02323100"""
160250,Remington College - New Orleans Campus,"""02065100"""
160348,Ronnie & Dormans School of Hair Design,"""01261100"""
160436,Louisiana Technical College-Sidney N Collier Campus,"""00548834"""
160454,Louisiana Technical College-Slidell Campus,"""00548835"""
160603,Stevenson's Academy of Hair Design,
161059,Central Maine Medical Center,"""00630502"""
161378,Mercy Hospital,"""00577600"""
161624,Accutech Career Institute,"""02288900"""
161837,Baltimore Hebrew University Inc,"""00206000"""
161882,Baltimore International College,"""02314800"""
162025,Broadcasting Institute of Maryland,"""02148600"""
162618,Maryland General Hospital,
162672,Greater Baltimore Medical Center,"""01141700"""
162885,Institute for Advanced Montessori Studies (AMS),
164137,Uniformed Services University of the Health Sciences,"""02161000"""
164191,Washington Adventist Hospital,
164571,Atlantic Union College,"""00211900"""
165149,Butera School of Art,"""02063800"""
166610,Woods Hole Oceanographic Institution,
166814,Soldier's Home in Massachusetts,
167543,Kaplan Career Institute - Charlestown,"""00748800"""
168519,"Fiser's College of Cosmetology, LLC","""02068700"""
169813,Creative Hair School of Cosmetology,"""04055300"""
169956,Focus:  HOPE Machinist Training Institute,"""02495800"""
170259,Henry Ford Hospital,
170286,Hillsdale College,"""00227200"""
170338,Howell College of Cosmetology,"""02594600"""
170693,Lewis College of Business,"""01239900"""
170824,Marquette General Hospital,"""02135000"""
172060,St. John Hospital & Medical Center,
172121,SS. Cyril & Methodius Seminary,
172398,"State College of Beauty, Inc",
172556,Virginia Farrell Beauty School,"""00973200"""
172574,Virginia Farrell Beauty School,"""01164600"""
172583,Virginia Farrell Beauty School,"""00973400"""
172769,William Beaumont Hospital,
172778,William Tyndale College,"""00225200"""
173018,Art Instruction Schools,
174002,Methodist Hospital,
174163,Minneapolis School of Anesthesia,"""00961500"""
174446,Dunwoody College of Technology,
174561,Pillsbury Baptist Bible College,"""02284500"""
174668,Rice Memorial Hospital,
174686,Ing'enue Beauty School,"""02543600"""
175148,Scot Lewis Schools,"""00972200"""
175175,Minneapolis Veterans Affairs Medical Center,
175476,Academy of Hair Design Seven,"""03001500"""
175713,Gibson's Barber and Beauty College,"""02554600"""
175917,Magnolia Bible College,"""02361200"""
176415,ICS the Wright Beauty College,"""02490200"""
176460,Wesley College,"""01146100"""
176497,Abbott Academy of Cosmetology Arts and Sciences,"""02311100"""
176734,Boonslick Technical Education Center,"""02090400"""
177074,Columbia Beauty Academy,"""02292400"""
177153,Chamberlain College of Nursing,"""00638500"""
177807,Kennett Career and Technology Center,"""02073600"""
177922,Cox Health Systems - School of Radiologic Technology,"""02068202"""
178031,Farmington Missouri Hospital Company,
178040,Martinez School of Cosmetology,"""02608300"""
178129,Metropolitan Community College - Kansas City,"""002484A1"""
178332,Class Act I School of Cosmetology,"""02608001"""
178563,Nichols Career Center,"""02066900"""
178998,Research Medical Center School of Nuclear Medical Technology,"""00639203"""
179025,Research Medical Center School of Radiologic Technology,"""00639202"""
179283,Saint Louis Community College,"""00247100"""
180124,The College of Coiffure Art,"""00946800"""
180142,Benefis Healthcare School of Radiologic Technology,"""00442500"""
180850,BryanLGH Medical Center/University of Kansas,
181011,Dana College,"""00254300"""
181163,Joseph's College Cosmetology,
181181,Joseph?s College of Cosmetology - Beatrice,
181206,Joseph?s College of Cosmetology - Hastings,
181251,Mary Lanning Memorial Hospital,"""00443100"""
181473,Joseph's College of Cosmetology,
181482,Joseph?s College of Cosmetology,
182485,Southern Nevada University of Cosmetology,"""02097100"""
182810,Franklin Pierce College-Graduate and Professional Studies,"""00257501"""
182883,Continental Academie of Hair Design,"""00849300"""
182944,McIntosh College,"""00473000"""
183707,Bayonne Medical Center School of Nursing,
183831,Brick Computer Science Institute,"""01191100"""
183901,Allied Medical and Technical Institute,"""02301900"""
184010,Raritan Bay Medical Center,
184038,Christ Hospital,
184135,Dover Business College - Clifton,"""01234600"""
184445,Englewood Hospital & Medical Center,
184922,Capital Health System School of Nursing,"""00473900"""
184986,Christ Hospital - Jersey City,
185235,Katharine Gibbs School,"""00750703"""
185244,Gibbs College,"""00750700"""
186025,Pascack Valley Hospital,
186797,St. Barnabas Medical Center,
186830,Harrison Career Institute - Delran,"""02186700"""
186849,Harrison Career Institute - Vineland,"""02586800"""
187268,Valley Hospital,
187514,Albuquerque Barber College,"""02496900"""
187587,Aladdin Beauty College #22,"""00988100"""
187675,Eddy County Beauty College,"""03014700"""
187754,Business Skills Institute-Las Cruces,"""02532900"""
188836,American Institute of Applied Science,
188924,Arnot Ogden Medical Center School of Radiologic Technology,"""00643502"""
189787,Caliber Training Institute,"""03172400"""
189802,St Vincent Catholic Medical Center New York-Brooklyn and Queens,"""01236400"""
189927,Peconic Bay Medical Center,
190187,Commercial Driver Training,"""02269600"""
190381,Cope Institute,"""02182100"""
191153,FEGS Trades and Business School,"""02332300"""
191384,Global Business Institute - Far Rockaway,"""02265200"""
191658,Holy Trinity Orthodox Seminary,
191870,Interboro Institute,"""00843500"""
192147,Katharine Gibbs School - New York City,"""00739800"""
192536,SUNY Downstate Medical Center,"""02118702"""
192855,Marymount College of Fordham University,"""00272206"""
192998,Merce Cunningham Studio,"""02506200"""
193043,Mercy Medical Center,
193496,Winthrop-University Hospital,
193566,National Tax Training School,
193812,New York Institute of Photography,
194107,New York Institute of Technology-Manhattan Campus,"""00278201"""
194204,Olean Business Institute,"""00900300"""
194383,Parsons the New School for Design,
194453,Phillips Hairstyling Institute,"""01207200"""
194709,Rabbinical Seminary of Adas Yereim,"""02349700"""
194727,Rabbi Isaac Elchanan Theological Seminary,
195137,Sage College of Albany,"""00281001"""
195614,South Nassau Communities Hospital,
195669,Faxton-St Luke's Healthcare School of Radiologic Technology,"""00506600"""
195818,St. Vincent's Hospital Manhattan,
195924,Suburban Technical School,"""01093000"""
196459,Taylor Business Institute,"""00482500"""
196644,Triple Cities School of Beauty Culture,"""00779000"""
196662,Troy School of Beauty Culture,"""00790400"""
197212,W.C.A. Hospital,
197920,Dudley Beauty College-Charlotte,
198589,Carolina Beauty College 8,"""02286300"""
198631,Hairstyling Institute of Charlotte Inc,"""02238700"""
199050,Moses Cone Health System,
199351,Presbyterian Hospital,"""00648200"""
199360,Presbyterian Hospital/Presbyterian Healthcare System,
199935,Wilkes Regional Medical Center,
200411,MeritCare Medical Center/MeritCare Health System,
200509,Trinity Hospital/Trinity Health,
200721,Adult Vocational Services,"""02512600"""
200794,Akron Machining Institute Inc,"""02345600"""
201070,College of Art Advertising,"""02261400"""
201229,Beatrice Academy of Beauty,"""02163900"""
201487,Vocational Guidance Services,
201779,Children's Hospital Medical Center,
201991,Ohio Academy - A Paul Mitchell Partner School,"""02077800"""
202019,Siegal College of Judaic Studies,"""01283800"""
202064,Cleveland Institute of Electronics,"""00521000"""
202189,Kaplan College - Columbus,"""01100500"""
202268,Community Hospital,"""00917200"""
203164,Cleveland Clinic Health System - Eastern Region,
203605,Laurel Oaks Career Development Campus,
203711,Live Oaks Career Development Campus,
203818,MedCentral College of Nursing,"""03586400"""
203854,Marietta Memorial Hospital,"""02235700"""
204167,Moore Universite' of Hair Design,"""01096200"""
204741,Ohio State School of Cosmetology & Experts Barber School,"""01182500"""
205197,Riggs Lemar Beauty College,"""00965800"""
205276,St. Elizabeth Health Center,
205319,Saint Mary Seminary and Graduate School of Theology,"""00406100"""
206057,Mercy Medical Center School of Radiology,
206756,Aladdin Beauty College #20,"""01096601"""
207634,Poteau Beauty College,"""03010300"""
207838,State Barber and Hair Design College,"""02177900"""
209393,Montessori Institute Northwest (AMI),
210410,GEORGE FOX EVANGELICAL SEMINARY,
210562,Albert Einstein Medical Center,"""01093200"""
210924,Armstrong County Memorial Hospital,
211112,Berean Institute,"""00782600"""
211185,Bradford Regional Medical Center,"""02126400"""
211246,Brandywine School of Nursing,"""00488700"""
211495,Center for Innovative Training and Education,"""03126000"""
211875,Crozer-Chester Medical Center,
211954,Delaware Valley Academy of Medical and Dental Assistants,"""02492500"""
212124,Palmer Theological Seminary of Eastern University,"""00326000"""
212364,Empire Beauty School - Pottstown,"""02523100"""
212407,Temple University Hospital - Episcopal,
212638,Geisinger Medical Center,"""01212200"""
212726,Gordon Phillips School of Beauty Culture,"""02063400"""
212744,Gordon Phillips School of Beauty Culture,"""00889100"""
213057,Pennsylvania School of Business,"""02255200"""
214005,METHODIST HOSPITAL,"""00709000"""
214227,Lehigh Valley College,"""00888900"""
214263,Nazareth Hospital School,
214315,Newport Business Institute,"""00490100"""
214908,PSC Academy Inc,"""02213400"""
215488,University of Pennsylvania Medical Center Presbyterian,"""00973700"""
215567,Punxy Beauty School,"""02544301"""
215789,St Joseph's Medical Center,"""02297100"""
215868,International Academy of Design and Technology - Pittsburgh,"""01021700"""
215895,Schuylkill Institute of Business Technology,"""02147800"""
215965,Heritage Valley Health System Sewickley Valley Hospital,"""00657600"""
216108,South Philadelphia Beauty Academy,"""02587800"""
216180,St Tikhon's Orthodox Theological Seminary,"""-2"""
216940,The Williamson Free School of Mechanical Trades,
216986,Newport Business Institute,"""00491400"""
217439,Rhode Island Hospital,
217545,Sawyer School - Pawtucket,"""01115900"""
217651,AnMed Health Medical Center,
217916,Columbia Beauty School,"""02310300"""
219134,SI TANKA UNIVERSITY-HURON CAMPUS,"""03019201"""
219329,Rapid City Regional Hospital,
220589,Lambuth University,"""00349800"""
220747,New Wave Hair Academy,"""02597600"""
220880,Methodist Healthcare,
220914,"Mid-America Baptist Theological Seminary, Germantown",
221175,Nashville General Hospital,
221306,Knox International 2000 Beauty College,
222141,S.W. School of business and Technbical Careers,
222682,American Commercial College,"""02200800"""
222691,American Commercial College - Abilene,"""01005700"""
222761,ATI Technical Training Center,"""01248200"""
223074,Memorial Hermann Baptist Hospital,
223357,Harris County Hospital Dist./Ben Taub General Hospital,
223870,Institute of Cosmetology & Esthetics,"""02572200"""
223913,Citizens Medical Center,
224208,The Criswell College,
224536,Careers Unlimited,"""03091200"""
225140,Gulf Coast Trades Center,
225469,Houston Montessori Center(AMS),
225715,International Schools,
225760,International Business College - Lubbock,"""02538900"""
225867,Austin Business College,"""02188600"""
226329,Lon Morris College,"""00358500"""
226709,Covenant Medical Center,
226790,MTI College of Business and Technology,"""02245200"""
227012,Montessori Teacher Education Institute - Houston,
227988,San Jacinto College District,"""00360900"""
228477,Southwestern Baptist Theological Seminary,"""00361700"""
229072,Texas Southmost College,"""00364300"""
229258,Tri-State Cosmetology Institute,
229638,International Renowned Beauty Academy,"""03731300"""
229984,Beau La Reine College of Beauty,"""01147900"""
230074,Certified Careers Institute,"""02572802"""
230092,College of Eastern Utah,"""00367600"""
230180,Evans Hairstyling College - Lindon,
230223,Premier Hair Academy,"""02557700"""
231192,Woodbury College,"""00368402"""
231350,The Apprentice School - Newport News Shipbuilding,
231402,Atlantic University,
231572,Braxton School,"""02567300"""
231642,MedSpa Careers Institute,"""02247200"""
231703,Christendom College,
232292,Hicks Academy of Beauty Culture,"""00995800"""
232353,Indian River Beauty Academy,"""03002200"""
232593,LOUISE OBICI MEMORIAL HOSPITAL,"""00859200"""
233189,Heritage Institute,"""02223100"""
233259,Virginia Theological Seminary,
233392,Riverside Regional Medical Center,
233462,Rockingham Memorial Hospital,
234313,"Winchester Medical Center, Inc.",
234526,Northwest Aviation College,
234960,Henry Cogswell College,"""02291700"""
235273,Professional Beauty School,"""02236801"""
236090,Northwest Baptist Seminary,"""01260100"""
236267,Phagans Orchards Beauty School,"""02345100"""
236300,Puget Sound Christian College,"""00499800"""
236461,Sakie International College of Cosmetology,
236559,Seattle Midwifery School,"""03361600"""
237224,Boone County Career and Technical,
237534,McDowell County Career and Technical Center,
237659,"Ohio Valley Medical Center, Inc.",
237808,St. Mary's Medical Center,"""00400600"""
237835,United Hospital Center,
238087,Wheeling Hospital,
238315,Bellin College/ Bellin Health School of Radiologic Technology,"""00610800"""
238421,Lakeside School of Massage Therapy,"""03007400"""
238564,University of Wisconsin - Milwaukee,
238652,Diesel Truck Driver Training School,
238883,Institute of Paper Science and Technology,"""001569A1"""
238971,Scientific College of Beauty and Barbering,"""00777400"""
239187,Mercy Medical Center/Affinity Health System,"""00611500"""
239530,Froedtert Memorial Lutheran Hospital,
239655,St. Joseph's Hospital,
239673,St. Luke's Medical Center,
239725,Madison Cosmetology College,"""01290600"""
239752,Saint Francis Seminary,"""00964100"""
239798,Franciscan Skemp Healthcare School of Anesthesia,
239965,Theda Clark Medical Center,"""00613100"""
241702,Colegio Tecnico Metropolitano,"""02097000"""
242060,Sistema Universitario Ana G Mendez,"""011719A1"""
242741,Puerto Rico Technical Junior College Inc,"""02566800"""
243382,Ramirez College of Business and Technology,"""01314800"""
243762,The University of Connecticut School of Medicine and Dentistry,"""00141708"""
243805,Ohr Somayach,"""02320100"""
243902,Gaither and Company Beauty College,"""02323800"""
244464,Hawai'i Theological Seminary,"""02321300"""
246026,Central Tech - Sapulpa,
246600,International Junior College Ponce College of Tech,"""02276403"""
247232,Health Enric
