ID	Name	Median SAT score	Graduation rate	Retention rate
402	Colorado Christian University	1150	42	72
403	University of Montana	1067	48	73
404	Bellarmine University	1092	62	80
405	Southern Connecticut State University	937	44	77
406	Birmingham-Southern College	1170	65	81
407	St. Louis University		70	86
408	South Dakota State University	985	56	76
409	Transylvania University	1136	74	86
410	Salisbury University	1149	67	82
411	University of South Alabama	1018	37	66
412	Morehouse College	1015	56	83
413	Rivier University		46	78
414	University of New Orleans	1096	34	66
415	University of Nebraska--Lincoln	1190	65	84
416	Illinois Wesleyan University	1224	82	91
417	University of Mississippi	1070	58	82
418	Sewanee--University of the South	1251	78	88
419	University of Louisiana--Lafayette	1050	44	75
420	SUNY--Plattsburgh	1076	61	81
421	SUNY--Oswego	1100	58	81
422	Kalamazoo College	1197	80	91
423	Florida International University	1135	49	82
424	Delaware State University	885	33	66
425	Bethel University - St. Paul, MN	1156	72	85
426	University of Evansville	1157	68	82
427	Idaho State University	1145	30	61
428	Webster University	1100	64	80
429	California State University--Dominguez Hills	854	28	74
430	Richard Stockton College of New Jersey	1065	64	84
431	California State University--San Marcos	963	47	78
432	Concordia College--Moorhead	1142	68	83
433	College of Wooster	1197	76	89
434	Southern New Hampshire University	979	57	71
435	SUNY--Geneseo	1269	79	91
436	University of North Florida	1157	48	83
437	Coe College	1108	70	80
438	Eastern Kentucky University	965	38	66
439	Montclair State University	989	63	82
440	Linfield College	1067	67	83
441	Colorado State University--Pueblo	961	34	64
442	Truman State University	1243	74	87
443	University of Detroit Mercy	1118	57	80
444	Boise State University	1041	29	70
445	California State University--Stanislaus	927	49	85
446	Centenary College	902	49	77
447	Southern Oregon University	1005	32	69
448	Humboldt State University	1003	42	73
449	Western State Colorado University	1044	38	62
450	Franklin Pierce University	927	50	63
451	Hamline University	1129	63	80
452	College of Charleston	1209	69	83
453	Luther College	1082	77	88
454	SUNY College--Oneonta	1101	67	84
455	Rhode Island College	937	43	76
456	Belmont University	1172	67	81
457	Troy University	1085	35	70
458	Maryland Institute College of Art	1145	72	85
459	Dordt College	1126	66	78
460	Berry College	1144	62	77
461	Keene State College	977	62	78
462	SUNY College--Cortland	1100	69	83
463	Taylor University	1153	77	87
464	Western Kentucky University	991	50	73
465	Western Connecticut State University	976	43	72
466	High Point University	1100	61	78
467	Maryville University of St. Louis	1080	70	84
468	Fort Lewis College	1054	38	62
469	Loyola University New Orleans	1158	58	78
470	Graceland University	933	50	68
471	Hope College	1186	77	89
472	University of Louisiana--Monroe	1001	24	72
473	Plymouth State University	956	55	76
474	California State University--Bakersfield		41	71
475	John Brown University	1135	68	79
476	Saint Joseph's College of Maine	942	55	75
477	College at Brockport--SUNY	1055	67	84
478	Husson University	947	42	70
479	Indiana Wesleyan University	1062	71	75
